ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Random Forest,0.8508691112339537,0.8994781809768572,0.7170851194121249,0.608944357774311,0.6586051743532059,0.5670967429892809
Logistic Regression,0.8506848473680978,0.9038417451454793,0.72815220896485,0.5871034841393655,0.6500647761623722,0.5617543414144334
KNN,0.833302622689024,0.8563658219831004,0.6638679791546034,0.5962038481539261,0.6282191780821917,0.5224349361646946
Decision Tree,0.8126650697131625,0.7442029703705239,0.6013238289205702,0.6141445657826313,0.6076665809107281,0.484687681859554
Naive Bayes,0.5511332227750139,0.7610558994132987,0.3378302417088252,0.9375975039001561,0.49669421487603305,0.33003691723246575
